project,hottest_box,hottest_peak_C,overall_avg_peak_C,gpu_peak_C,hbm_peak_C,num_boxes
ECTC_2p5D_1GPU_8high_110325_higherHTC,Power_Source.substrate.set_primary.GPU,101.26060060241402,93.00672380955385,101.26060060241402,93.49598763815885,57
ECTC_3D_1GPU_8high_110325_higherHTC,Power_Source.substrate.GPU,126.40085661395919,124.24475747998369,126.40085661395919,125.303807789699,61
ECTC_3D_1GPU_8high_120125_higherHTC,Power_Source.substrate.HBM#1,122.34007334635079,122.17931157394962,122.01799819698833,122.34007334635079,61
